Question,Precision_macro,Precision_weighted,Precision_positive,Precision_negative,Recall_macro,Recall_weighted,Recall_positive,Recall_negative,F1_macro,F1_weighted,F1_positive,F1_negative,CohenKappa,MCC
Significance,0.842948717948718,0.8222155448717949,0.7692307692307693,0.9166666666666666,0.7269353128313891,0.796875,0.975609756097561,0.4782608695652174,0.7443932411674348,0.7769681259600614,0.8602150537634409,0.6285714285714286,0.5071090047393365,0.5579504443687312
State_of_the_art,0.7963944856839873,0.8125,0.7391304347826086,0.8536585365853658,0.7963944856839873,0.8125,0.7391304347826086,0.8536585365853658,0.7963944856839873,0.8125,0.7391304347826086,0.8536585365853658,0.5927889713679746,0.5927889713679746
Gap,0.6620775969962454,0.7754615143929913,0.3829787234042553,0.9411764705882353,0.6514619883040935,0.53125,0.9473684210526315,0.35555555555555557,0.530791788856305,0.5248350439882699,0.5454545454545454,0.5161290322580645,0.21246923707957344,0.3133598257632966
Problem,0.5369211514392991,0.7636107634543179,0.19148936170212766,0.8823529411764706,0.5506003430531733,0.375,0.8181818181818182,0.2830188679245283,0.3694581280788177,0.4082512315270935,0.3103448275862069,0.42857142857142855,0.04406273338312172,0.08644588894208206
References,0.8971861471861472,0.9292816558441559,0.8181818181818182,0.9761904761904762,0.9292397660818713,0.921875,0.9473684210526315,0.9111111111111111,0.9102887580599943,0.9233862489486964,0.8780487804878049,0.9425287356321839,0.8210290827740492,0.8258040661298334
Purpose,0.7719298245614035,0.7790570175438596,0.543859649122807,1.0,0.6060606060606061,0.59375,1.0,0.21212121212121213,0.5272727272727273,0.5217329545454545,0.7045454545454546,0.35,0.20686367969494757,0.3396530111683789
Intention,0.5795334040296924,0.6013056733828208,0.4634146341463415,0.6956521739130435,0.5759109311740891,0.546875,0.7307692307692307,0.42105263157894735,0.5458771715194519,0.5418858575972596,0.5671641791044776,0.5245901639344263,0.13914656771799627,0.15540212044034668
Structure_goal,0.7382352941176471,0.7440257352941176,0.8,0.6764705882352942,0.7394088669950739,0.734375,0.6857142857142857,0.7931034482758621,0.7343101343101344,0.7346993284493284,0.7384615384615385,0.7301587301587301,0.4718446601941747,0.4776427193748234
Congruence,0.6228571428571429,0.6533928571428571,0.46,0.7857142857142857,0.5870445344129555,0.53125,0.8846153846153846,0.2894736842105263,0.5141700404858299,0.4970900809716599,0.6052631578947368,0.4230769230769231,0.15194346289752647,0.20682401020486918
Outlook,0.96875,0.9853515625,1.0,0.9375,0.9897959183673469,0.984375,0.9795918367346939,1.0,0.9787163285666778,0.9845464748919188,0.9896907216494846,0.967741935483871,0.9574468085106383,0.9583148474999099
Quantity,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Completeness,0.5714285714285714,0.8928571428571429,0.14285714285714285,1.0,0.5714285714285714,0.25,1.0,0.14285714285714285,0.25,0.25,0.25,0.25,0.040000000000000036,0.14285714285714285
Format,0.9107142857142857,0.9352678571428571,0.9464285714285714,0.875,0.8407407407407408,0.9375,0.9814814814814815,0.7,0.8707070707070708,0.9345959595959596,0.9636363636363636,0.7777777777777778,0.7419354838709677,0.7481900559272088
Structure_tasks,0.9444444444444444,0.9861111111111112,1.0,0.8888888888888888,0.9910714285714286,0.984375,0.9821428571428571,1.0,0.9660837307896131,0.9847641759406466,0.990990990990991,0.9411764705882353,0.9322033898305084,0.9343531843023135
Clarity,0.8020833333333333,0.7991536458333333,0.7916666666666666,0.8125,0.7460233297985154,0.796875,0.926829268292683,0.5652173913043478,0.7602996254681648,0.7866338951310861,0.8539325842696629,0.6666666666666666,0.5272727272727273,0.5452322350826353
Relevance,0.8050847457627119,0.7807203389830508,0.6101694915254238,1.0,0.5892857142857143,0.640625,1.0,0.17857142857142858,0.5304625199362042,0.5588915470494418,0.7578947368421053,0.30303030303030304,0.19650655021834063,0.3300891361017462
Chapters,0.868421052631579,0.9424342105263158,0.7368421052631579,1.0,0.95,0.921875,1.0,0.9,0.89792663476874,0.9257376395534289,0.8484848484848485,0.9473684210526315,0.7974683544303798,0.8143450710459553
Description,0.9514619883040936,0.9529970760233918,0.9473684210526315,0.9555555555555556,0.9386363636363637,0.953125,0.9,0.9772727272727273,0.9446845289541919,0.9527873811581677,0.9230769230769231,0.9662921348314607,0.8894009216589862,0.8900059435076827
Structure_afterTasks,0.7004830917874396,0.8765096618357487,0.4444444444444444,0.9565217391304348,0.8074074074074074,0.8125,0.8,0.8148148148148148,0.7257142857142858,0.8317857142857144,0.5714285714285714,0.88,0.46368715083798884,0.49650775412030823
Average,0.7879450146435127,0.8438028088810455,0.6730559070425667,0.9028341222444588,0.7677603320438593,0.743421052631579,0.9104633261009404,0.6250573379867783,0.7156605894915595,0.7342679820839045,0.7419875638136718,0.6893336151694471,0.5101673045515389,0.5481982330634336
