Question,Precision_macro,Precision_weighted,Precision_positive,Precision_negative,Recall_macro,Recall_weighted,Recall_positive,Recall_negative,F1_macro,F1_weighted,F1_positive,F1_negative,CohenKappa,MCC
Significance,0.9818181818181818,0.9698863636363636,0.9636363636363636,1.0,0.9090909090909092,0.96875,1.0,0.8181818181818182,0.9407407407407408,0.9674768518518518,0.9814814814814815,0.9,0.8817005545286507,0.8879356688781658
State_of_the_art,0.6340579710144928,0.8502038043478262,0.3333333333333333,0.9347826086956522,0.7242424242424242,0.765625,0.6666666666666666,0.7818181818181819,0.647964796479648,0.7942450495049505,0.4444444444444444,0.8514851485148515,0.3162393162393162,0.34676496022124553
Gap,0.8692115143929913,0.889197434292866,0.8235294117647058,0.9148936170212766,0.856280193236715,0.890625,0.7777777777777778,0.9347826086956522,0.8623655913978494,0.8896505376344086,0.8,0.9247311827956989,0.7248157248157248,0.7253764531418293
Problem,0.9183673469387755,0.8954081632653061,0.8367346938775511,1.0,0.8260869565217391,0.875,1.0,0.6521739130434783,0.8502923976608188,0.8673976608187135,0.9111111111111111,0.7894736842105263,0.706084959816303,0.7387127584422509
References,0.811740890688259,0.812246963562753,0.8076923076923077,0.8157894736842105,0.8055555555555556,0.8125,0.75,0.8611111111111112,0.8078078078078078,0.8115615615615616,0.7777777777777778,0.8378378378378378,0.616,0.6172654568129816
Purpose,0.7522727272727273,0.8723721590909091,0.9545454545454546,0.55,0.8348416289592759,0.828125,0.8235294117647058,0.8461538461538461,0.775438596491228,0.8400219298245614,0.8842105263157894,0.6666666666666666,0.5577889447236181,0.581279316480465
Intention,0.6943589743589743,0.8453846153846153,0.9487179487179487,0.44,0.7858220211161387,0.75,0.7254901960784313,0.8461538461538461,0.7005847953216374,0.7728070175438596,0.8222222222222222,0.5789473684210527,0.425364758698092,0.47138975327574456
Structure_goal,0.9487179487179487,0.96875,0.9807692307692307,0.9166666666666666,0.9487179487179487,0.96875,0.9807692307692307,0.9166666666666666,0.9487179487179487,0.96875,0.9807692307692307,0.9166666666666666,0.8974358974358975,0.8974358974358975
Congruence,0.6196078431372549,0.6357843137254902,0.7058823529411765,0.5333333333333333,0.6234817813765182,0.625,0.631578947368421,0.6153846153846154,0.6190476190476191,0.6279761904761905,0.6666666666666666,0.5714285714285714,0.24110671936758898,0.24305875451990117
Outlook,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Quantity,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Completeness,0.6482683982683983,0.6677150974025974,0.5238095238095238,0.7727272727272727,0.6371371371371372,0.609375,0.8148148148148148,0.4594594594594595,0.6069761729304839,0.6021785187914517,0.6376811594202898,0.576271186440678,0.25512104283054005,0.2851883845210881
Format,0.8888888888888888,0.9756944444444444,1.0,0.7777777777777778,0.9824561403508771,0.96875,0.9649122807017544,1.0,0.9285714285714286,0.9704241071428571,0.9821428571428571,0.875,0.8574610244988864,0.8663067178746208
Structure_tasks,0.8907407407407408,0.9559606481481482,0.9814814814814815,0.8,0.9262626262626262,0.953125,0.9636363636363636,0.8888888888888888,0.9072911636890391,0.9541435296957992,0.9724770642201835,0.8421052631578947,0.8146718146718147,0.8162307868144942
Clarity,0.840677966101695,0.8673728813559323,0.8813559322033898,0.8,0.6723842195540308,0.875,0.9811320754716981,0.36363636363636365,0.7142857142857143,0.8549107142857143,0.9285714285714286,0.5,0.43982494529540483,0.48467517083380807
Relevance,0.7285067873303167,0.7409502262443439,0.7647058823529411,0.6923076923076923,0.6677740863787375,0.75,0.9069767441860465,0.42857142857142855,0.6795994993742178,0.731226533166458,0.8297872340425532,0.5294117647058824,0.37177914110429444,0.39159937423690744
Chapters,0.9736842105263157,0.9851973684210527,0.9473684210526315,1.0,0.9891304347826086,0.984375,1.0,0.9782608695652174,0.980991980991981,0.9845002970002971,0.972972972972973,0.989010989010989,0.9619952494061758,0.9626907371412557
Description,0.8125,0.83984375,0.75,0.875,0.7898550724637681,0.84375,0.6666666666666666,0.9130434782608695,0.799749687108886,0.840816645807259,0.7058823529411765,0.8936170212765957,0.6,0.6019292654288461
Structure_afterTasks,0.9444444444444444,0.9722222222222222,0.8888888888888888,1.0,0.9791666666666667,0.96875,1.0,0.9583333333333334,0.9599499374217773,0.9693366708385482,0.9411764705882353,0.9787234042553191,0.92,0.9229582069908973
Average,0.8398876228758109,0.8812731818707826,0.8469711172140488,0.8328041285375727,0.839909779074404,0.8651315789473685,0.8765237461001356,0.8032958120486725,0.8279145198967803,0.8656538850497096,0.8547039474046538,0.8011250923889068,0.6624942154438056,0.6758314559500208
