Question,Precision_macro,Precision_weighted,Precision_positive,Precision_negative,Recall_macro,Recall_weighted,Recall_positive,Recall_negative,F1_macro,F1_weighted,F1_positive,F1_negative,CohenKappa,MCC
Significance,0.8727272727272728,0.8369318181818182,0.7454545454545455,1.0,0.6956521739130435,0.78125,1.0,0.391304347826087,0.7083333333333333,0.7493489583333333,0.8541666666666666,0.5625,0.4516523867809058,0.5400922187396177
State_of_the_art,0.7910628019323671,0.7947992149758454,0.7777777777777778,0.8043478260869565,0.7555673382820784,0.796875,0.6086956521739131,0.9024390243902439,0.7667507709559854,0.790326254555649,0.6829268292682927,0.8505747126436781,0.5367483296213809,0.5454764726833922
Gap,0.6983729662077597,0.7431163954943679,0.5882352941176471,0.8085106382978723,0.6853801169590643,0.75,0.5263157894736842,0.8444444444444444,0.6908212560386473,0.7457729468599034,0.5555555555555556,0.8260869565217391,0.38238841978287097,0.3835330685983205
Problem,0.5251700680272109,0.7492772108843538,0.1836734693877551,0.8666666666666667,0.5317324185248714,0.34375,0.8181818181818182,0.24528301886792453,0.3411764705882353,0.3681985294117647,0.3,0.38235294117647056,0.026792179580014452,0.05652281425898534
References,0.8006072874493927,0.8602289979757085,0.6538461538461539,0.9473684210526315,0.8473684210526315,0.828125,0.8947368421052632,0.8,0.811512717536814,0.8342453145917001,0.7555555555555555,0.8674698795180723,0.627906976744186,0.6462862486490335
Purpose,0.7983091787439613,0.8028759057971014,0.6521739130434783,0.9444444444444444,0.7414467253176931,0.734375,0.967741935483871,0.5151515151515151,0.722943722943723,0.721185064935065,0.7792207792207793,0.6666666666666666,0.47591522157996147,0.5367523612987272
Intention,0.7020512820512821,0.7279166666666667,0.5641025641025641,0.84,0.6993927125506073,0.671875,0.8461538461538461,0.5526315789473685,0.6717948717948719,0.6708333333333334,0.676923076923077,0.6666666666666666,0.3696060037523452,0.4014351912950979
Structure_goal,0.8365384615384616,0.8212139423076923,0.6730769230769231,1.0,0.7068965517241379,0.734375,1.0,0.41379310344827586,0.6949817774039809,0.7052582702551163,0.8045977011494253,0.5853658536585366,0.43568464730290457,0.5277448141473458
Congruence,0.7676923076923077,0.79625,0.6153846153846154,0.92,0.76417004048583,0.734375,0.9230769230769231,0.6052631578947368,0.7343101343101344,0.7335317460317461,0.7384615384615385,0.7301587301587301,0.48968105065666045,0.5318506849138099
Outlook,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Quantity,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Completeness,0.5930232558139534,0.8982558139534884,0.18604651162790697,1.0,0.6875,0.453125,1.0,0.375,0.4295900178253119,0.5164884135472371,0.3137254901960784,0.5454545454545454,0.13043478260869568,0.26413527189768715
Format,0.8616161616161616,0.9192550505050505,0.9454545454545454,0.7777777777777778,0.8314814814814815,0.921875,0.9629629629629629,0.7,0.8454852728150652,0.9201774505070015,0.9541284403669725,0.7368421052631579,0.6911196911196911,0.6924422314682203
Structure_tasks,0.9444444444444444,0.9861111111111112,1.0,0.8888888888888888,0.9910714285714286,0.984375,0.9821428571428571,1.0,0.9660837307896131,0.9847641759406466,0.990990990990991,0.9411764705882353,0.9322033898305084,0.9343531843023135
Clarity,0.7389830508474576,0.721822033898305,0.6779661016949152,0.8,0.5747613997879109,0.6875,0.975609756097561,0.17391304347826086,0.5428571428571429,0.6151785714285715,0.8,0.2857142857142857,0.1805377720870679,0.26733280686770505
Relevance,0.7847341337907375,0.769189536878216,0.660377358490566,0.9090909090909091,0.6646825396825397,0.703125,0.9722222222222222,0.35714285714285715,0.6496686833765486,0.666774704696053,0.7865168539325843,0.5128205128205128,0.3531914893617021,0.43308539706144195
Chapters,0.868421052631579,0.9424342105263158,0.7368421052631579,1.0,0.95,0.921875,1.0,0.9,0.89792663476874,0.9257376395534289,0.8484848484848485,0.9473684210526315,0.7974683544303798,0.8143450710459553
Description,0.875,0.875,0.875,0.875,0.8272727272727273,0.875,0.7,0.9545454545454546,0.8454106280193237,0.8707729468599034,0.7777777777777778,0.9130434782608695,0.6923076923076923,0.7006490497453707
Structure_afterTasks,0.7004830917874396,0.8765096618357487,0.4444444444444444,0.9565217391304348,0.8074074074074074,0.8125,0.8,0.8148148148148148,0.7257142857142858,0.8317857142857144,0.5714285714285714,0.88,0.46368715083798884,0.49650775412030823
Average,0.7978545693316731,0.8484835563679889,0.6831503327982629,0.9125588058650833,0.7769359727901817,0.7754934210526315,0.8935705581618381,0.6603013874185254,0.7392295500564082,0.771072633427693,0.7468663513673007,0.7315927487455158,0.5282802914939451,0.5669760337417544
